# id	left	top	right	bottom	texture_id
[SPRITES]
# WHITE BOX
70001	1	1	16	16	30
70002	18	1	33	16	30
70003	35	1	50	16	30
70004	1	18	16	33	30
70005	18	18	33	33	30
70006	35	18	50	33	30
70007	1	35	16	50	30
70008	18	35	33	50	30
70009	35	35	50	50	30

# GREEN BOX
71001	52	1	67	16	30
71002	69	1	84	16	30
71003	86	1	101	16	30
71004	52	18	67	33	30
71005	69	18	84	33	30
71006	86	18	101	33	30
71007	52	35	67	50	30
71008	69	35	84	50	30
71009	86	35	101	50	30

# PINK BOX
72001	1	52	16	67	30
72002	18	52	33	67	30
72003	35	52	50	67	30
72004	1	69	16	84	30
72005	18	69	33	84	30
72006	35	69	50	84	30
72007	1	86	16	101	30
72008	18	86	33	101	30
72009	35	86	50	101	30

# BLUE BOX
73001	52	52	67	67	30
73002	69	52	84	67	30
73003	86	52	101	67	30
73004	52	69	67	84	30
73005	69	69	84	84	30
73006	86	69	101	84	30
73007	52	86	67	101	30
73008	69	86	84	101	30
73009	86	86	101	101	30
